,district_name,avg_class_size,number_of_students,african_american_pct,asian_pct,hispanic_pct,white_pct,native_american_pct,nhpi_pct,mrnh_pct,ap_pct_score_3-5,high_school_graduates_num,attending_colluniv_num,attend_uni_pct,private_four-year_pct,reading__writing,math,num_in_cohort,pct_graduated,pct_dropped_out,towns,school_name,pop_census_2020,population_census_april_1_2010,white_alone_pct,black_or_african_american_alone_pct,american_indian_and_alaska_native_alone_pct,asian_alone_pct,native_hawaiian_and_other_pacific_islander_alone_pct,two_or_more_races_pct,hisp_latino_pct,white_pop_nhl,foreign_born_pct,persons_per_household_2015-2019,median_household_income,per_cap_income_12_mos,persons_in_poverty_pct,pop_sq_mi_2010,land_area_in_square_miles_2010,predicted_uni_pct,residuals_uni_pct,predicted_uni_pct2,residuals_uni_pct2
0,Amesbury,15.1,"1,869",1.9,1.2,9.7,82.6,0.2,0.1,4.3,58.7,151.0,102.0,67.5,33.3,596.0,570.0,165,87.9,3.0,Amesbury,Amesbury High School,17366,16283,0.961,0.006,0.003,0.011,0.0,0.019,0.025,0.938,0.043,2.37,82468,42607,0.063,1327.8,12.26,68.48273816622638,-0.9827381662263832,67.96011645200274,-0.46011645200273676
1,Andover,12.3,"5,614",2.7,19.0,7.9,66.5,0.1,0.1,3.7,74.4,433.0,351.0,81.1,52.4,607.0,611.0,441,95.2,0.9,Andover,Andover High School,9735,8762,0.87,0.026,0.001,0.079,0.0,0.023,0.025,0.847,0.135,2.15,95600,55457,0.095,2376.6,3.69,68.42523549109205,12.674764508907941,69.11235054679614,11.987649453203858
2,Beverly,16.4,"4,655",3.5,2.5,14.9,75.0,0.1,0.0,4.0,56.5,289.0,217.0,75.1,36.9,548.0,522.0,310,91.0,4.8,Beverly,Beverly High School,42670,39502,0.921,0.021,0.001,0.022,0.001,0.027,0.051,0.885,0.08,2.34,80586,45803,0.093,2617.2,15.09,66.40539331923137,8.69460668076863,64.23934906523378,10.860650934766213
3,Danvers,16.8,"3,327",2.3,2.4,9.1,83.6,0.1,0.0,2.6,55.7,230.0,163.0,70.9,39.3,549.0,530.0,237,95.8,0.8,Danvers,Danvers High School,28087,26493,0.917,0.024,0.001,0.026,0.0,0.023,0.051,0.876,0.105,2.51,89250,44005,0.071,1995.6,13.28,70.41389246344468,0.48610753655532335,68.95856974732098,1.9414302526790266
4,Georgetown,14.9,"1,223",0.8,1.0,2.4,93.7,0.0,0.2,2.0,87.2,109.0,90.0,82.6,41.1,577.0,569.0,112,95.5,2.7,Georgetown,Georgetown High School,8470,8183,0.958,0.008,0.004,0.012,0.0,0.012,0.035,0.932,0.037,2.63,128466,53243,0.031,636.3,12.86,82.48943185347376,0.11056814652623359,80.60183482484038,1.9981651751596132
5,Gloucester,13.1,"2,691",1.8,1.2,12.9,79.7,0.3,0.3,3.8,55.0,177.0,87.0,49.2,39.1,542.0,532.0,190,83.7,5.8,Gloucester,Gloucester High School,29729,28789,0.936,0.017,0.0,0.019,0.0,0.023,0.024,0.919,0.086,2.27,72574,43321,0.1,1099.0,26.2,65.36207882193035,-16.16207882193035,62.59056664710727,-13.39056664710727
6,Hamilton-Wenham,11.8,"1,683",0.5,3.7,5.2,87.8,0.0,0.2,2.7,62.1,146.0,119.0,81.5,57.1,592.0,587.0,143,97.2,0.7,Hamilton,Hamilton-Wenham Regional High School,7561,7764,0.921,0.003,0.0,0.06,0.002,0.011,0.015,0.91,0.096,2.89,127813,49347,0.119,547.4,14.18,81.08175873010212,0.4182412698978766,78.21590766508767,3.28409233491233
7,Hamilton-Wenham,11.8,"1,683",0.5,3.7,5.2,87.8,0.0,0.2,2.7,62.1,146.0,119.0,81.5,57.1,592.0,587.0,143,97.2,0.7,Wenham,Hamilton-Wenham Regional High School,7561,7764,0.921,0.003,0.0,0.06,0.002,0.011,0.015,0.91,0.096,2.89,127813,49347,0.119,547.4,14.18,81.08175873010212,0.4182412698978766,78.21590766508767,3.28409233491233
8,Haverhill,17.2,"7,848",5.2,1.8,40.9,49.7,0.2,0.1,2.1,48.4,413.0,235.0,56.9,28.5,547.0,545.0,491,80.4,7.7,Haverhill,Haverhill High School,67787,60879,0.803,0.036,0.001,0.013,0.0,0.039,0.232,0.697,0.107,2.58,69426,33918,0.125,1846.5,32.97,58.248142596055665,-1.3481425960556663,58.879335545233374,-1.9793355452333756
9,Ipswich,15.1,"1,604",1.3,1.3,7.1,86.3,0.1,0.0,4.0,78.6,133.0,93.0,69.9,45.2,575.0,572.0,142,90.8,4.9,Ipswich,Ipswich High School,13785,13175,0.944,0.022,0.0,0.009,0.0,0.011,0.042,0.92,0.065,2.4,93212,52393,0.076,410.3,32.11,71.98745609009859,-2.087456090098584,72.1144226476576,-2.2144226476575994
10,Lawrence,17.9,"13,204",1.3,1.2,93.8,3.2,0.0,0.0,0.4,23.8,759.0,347.0,45.7,19.6,537.0,541.0,984,72.8,8.8,Lawrence,Lawrence High School,89143,76377,0.528,0.057,0.003,0.017,0.0,0.031,0.806,0.148,0.406,3.03,44613,20858,0.214,11028.0,6.93,42.16423404639906,3.5357659536009436,45.39697514069967,0.3030248593003293
11,Lynn,15.4,"12,825",8.2,7.5,67.9,13.0,0.3,0.0,3.1,23.3,1062.0,436.0,41.1,27.8,533.0,521.0,"1,254",79.0,13.7,Lynn,Lynn Classical High School + Lynn English High School,101253,90329,0.486,0.137,0.004,0.073,0.001,0.066,0.428,0.359,0.367,2.85,56181,26291,0.166,8409.5,10.74,47.16211086983881,-6.062110869838811,45.96795395110862,-4.867953951108618
12,Lynnfield,17.6,"2,179",1.9,6.9,5.8,82.2,0.0,0.0,3.2,67.0,157.0,134.0,85.4,44.0,562.0,565.0,159,97.5,1.3,Lynnfield,Lynnfield High School,13000,11596,0.923,0.012,0.0,0.044,0.0,0.019,0.024,0.907,0.078,2.81,128641,63191,0.02,1173.4,9.88,80.11297932453951,5.2870206754604965,80.14830568528976,5.2516943147102495
